,stfips,stname,ctyfips,ctyname,fips,restriction details,stay at home,urgency,date of executive,emergency,k12,dayCare,visitorBan_nursing,declare_stayAtHome,closed_nonEssentaialBusiness,restaurants_closed,gyms_closed,movieTheatres_closed,evictions_Froze,utilityShutoff_Froze,mortgagePayments_Froze,relegiousGathering,open_AlcoholStores,open_firearms,expansion_Medical,sick_leaves_Paid
0,1.0,Alabama,1,Autauga County,1001,"Suspension of certain public gatherings, closure of schools, and closure of certain businesses",No,Mandatory,3/19/2020,2020-03-13,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,2020-03-28 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,0,0,0,0.0,1.0,1.0,0.0,0.0
1,1.0,Alabama,3,Baldwin County,1003,"Suspension of certain public gatherings, closure of schools, and closure of certain businesses",No,Mandatory,3/19/2020,2020-03-13,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,2020-03-28 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,0,0,0,0.0,1.0,1.0,0.0,0.0
2,1.0,Alabama,5,Barbour County,1005,"Suspension of certain public gatherings, closure of schools, and closure of certain businesses",No,Mandatory,3/19/2020,2020-03-13,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,2020-03-28 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,0,0,0,0.0,1.0,1.0,0.0,0.0
3,1.0,Alabama,7,Bibb County,1007,"Suspension of certain public gatherings, closure of schools, and closure of certain businesses",No,Mandatory,3/19/2020,2020-03-13,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,2020-03-28 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,0,0,0,0.0,1.0,1.0,0.0,0.0
4,1.0,Alabama,9,Blount County,1009,"Suspension of certain public gatherings, closure of schools, and closure of certain businesses",No,Mandatory,3/19/2020,2020-03-13,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,2020-03-28 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,0,0,0,0.0,1.0,1.0,0.0,0.0
5,1.0,Alabama,11,Bullock County,1011,"Suspension of certain public gatherings, closure of schools, and closure of certain businesses",No,Mandatory,3/19/2020,2020-03-13,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,2020-03-28 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,0,0,0,0.0,1.0,1.0,0.0,0.0
6,1.0,Alabama,13,Butler County,1013,"Suspension of certain public gatherings, closure of schools, and closure of certain businesses",No,Mandatory,3/19/2020,2020-03-13,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,2020-03-28 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,0,0,0,0.0,1.0,1.0,0.0,0.0
7,1.0,Alabama,15,Calhoun County,1015,"Suspension of certain public gatherings, closure of schools, and closure of certain businesses",No,Mandatory,3/19/2020,2020-03-13,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,2020-03-28 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,0,0,0,0.0,1.0,1.0,0.0,0.0
8,1.0,Alabama,17,Chambers County,1017,"Suspension of certain public gatherings, closure of schools, and closure of certain businesses",No,Mandatory,3/19/2020,2020-03-13,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,2020-03-28 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,0,0,0,0.0,1.0,1.0,0.0,0.0
9,1.0,Alabama,19,Cherokee County,1019,"Suspension of certain public gatherings, closure of schools, and closure of certain businesses",No,Mandatory,3/19/2020,2020-03-13,2020-03-18 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-04-04 00:00:00,2020-03-28 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,0,0,0,0.0,1.0,1.0,0.0,0.0
