stname,stfips,ctyname,ctyfips,fips,medexp,uninsured_2017,agiprop1_2017,agiprop2_2017,agiprop3_2017,agiprop4_2017,agiprop5_2017,agiprop6_2017,agiprop7_2017,agiprop8_2017,agiprop9_2017,rmortality_2018,cmortality_2018,nmortality_2018,dmortality_2018,mmortality_2018,houseper_2018,popdensity_2018,gdp_2018,outmig2013_2017,inmig2013_2017,tot_2018,male_2018,ageg1_2018,ageg2_2018,ageg3_2018,ageg4_2018,ageg5_2018,ageg6_2018,ageg7_2018,ageg8_2018,ageg9_2018,ageg10_2018,ageg11_2018,ageg12_2018,ageg13_2018,ageg14_2018,ageg15_2018,ageg16_2018,ageg17_2018,ageg18_2018,hispanic_2018,nhwhite_2018,nhblack_2018,nhindian_2018,nhasian_2018,nhhawaii_2018,oldprop,povprop,hincgroup1,hincgroup2,hincgroup3,hincgroup4,hincgroup5,hincgroup6,hincgroup7,hincgroup8,hincgroup9,hincgroup10,hincgroup11,hincgroup12,hincgroup13,hincgroup14,hincgroup15,hincgroup16,languge,diabetes_2016,association_2017,associationrate_2017,dissimwb,dissimwn,smoker_2017,hiv_2016
Alabama,01,Autauga County,001,01001,0,.093999997,.0060345982,.073085688,.13343167,.15622905,.11912744,.098788612,.14460686,.020338831,.24835725,149.3,295,170.89999,52.200001,,2.3426731,36.113876,1483414,5320,3779,55601,.4855128504883006,.0605025089476808,.0615636409417097,.0698188881494937,.0675347565691265,.0570673189331127,.0666354921674071,.0622470818870164,.0652506249887592,.0650348015323465,.0713296523443823,.0685419326990522,.0706282261110412,.0582183773673135,.0465639107210302,.0415640006474704,.0312764158918005,.0205571842233053,.0156651858779518,.02965774,.74308014,.19343178,.0043704249,.012050143,.00077336741,.087,.154,.070850104,.057826191,.062230643,.039213829,.045891546,.033246506,.050580155,.038598154,.02955245,.083116271,.097750418,.14051622,.10878523,.056736916,.054511011,.030594364,.0099999998,.11,67,12.1,25,24,.18,219
Alabama,01,Baldwin County,003,01003,0,.093999997,.01392223,.083476089,.14151403,.16030617,.11487272,.091382541,.14306094,.046292849,.20517242,103.2,349.5,256.39999,11.9,51.799999,1.8693315,52.94949,5774289,6721,8913,218022,.4846162313894928,.0548339158433553,.0587188448872132,.0641265560356294,.0593151149883957,.0509489867994973,.057200649475741,.0553017585381292,.0603425342396639,.0590628468686646,.0663281687169185,.0653236829310803,.0722128959462807,.0718505471924852,.0654383502582308,.057200649475741,.0388263569731495,.0232270137875994,.0197411270422251,.046467789,.8311134,.08783976,.0067011588,.011342892,.00050912291,.08,.106,.053763576,.051868435,.044313297,.04746763,.052084658,.057630181,.048777696,.047849201,.038055506,.094197556,.098420292,.12326066,.079367101,.056409147,.055289868,.051245198,.0099999998,.11,217,10.2,41,32,.17,167
Alabama,01,Barbour County,005,01005,0,.093999997,.0091144582,.071956247,.161182,.14535163,.06619975,.044612877,.060443252,.0095941667,.43154562,,502.39999,277.29999,0,,2.0725532,10.854899,787425,1295,991,24881,.5278324826172581,.0516056428600137,.0581970178047506,.0606486877537077,.0583175917366665,.059161609260078,.0721835939069973,.0671194887665287,.0615328965877577,.0582774004260279,.0652706884771512,.0644266709537398,.0673204453197219,.0617338531409509,.0618946183835055,.0537357823238616,.0364535187492464,.0231501949278566,.018970298621438,.042763554,.45641252,.48032635,.0034162614,.0045416183,.0010851654,.162,.289,.13335511,.089483999,.091987811,.0731548,.053015459,.068038322,.054430656,.051709123,.035488788,.067385152,.075985193,.087742217,.060091443,.031134335,.013172219,.013825387,.02,.18000001,19,7.5,25,23,.22,421
Alabama,01,Bibb County,007,01007,0,.093999997,.0042678048,.059215792,.12963457,.14297146,.099759936,.067217924,.068284877,.0074686585,.42117897,138.39999,464.29999,263.39999,0,0,2.4245048,13.894338,364197,1429,1654,22400,.5321875,.0573660714285714,.0522767857142857,.0591964285714286,.0566964285714286,.0581696428571429,.0770535714285714,.0714732142857143,.0675,.0642857142857143,.0713392857142857,.0705803571428571,.0684821428571429,.0608482142857143,.0527678571428571,.0442857142857143,.0326339285714286,.0188392857142857,.0162053571428571,.026249999,.74589288,.21120536,.0038392858,.0023214286,.00026785713,.081,.14,.063888893,.081725143,.051608186,.077485383,.061842106,.049561404,.042836256,.069444448,.038011696,.073538013,.093274854,.14619882,.064473681,.037719298,.031140352,.017251462,0,.15000001,19,8.3999996,53,53,.19,197
Alabama,01,Blount County,009,01009,0,.093999997,.010046814,.071610272,.12953977,.17357475,.12975353,.091062613,.090848848,.011543148,.29202026,193.60001,373.39999,238.60001,0,,2.3676777,34.632576,849114,3335,1715,57840,.4927385892116183,.059820193637621,.0628457814661134,.0674619640387275,.0634163208852006,.0549446749654219,.0616182572614108,.0582641770401107,.0607538035961272,.0614280774550484,.0677904564315353,.0673755186721992,.0682399723374827,.0636756569847856,.0567427385892116,.0511929460580913,.0340594744121715,.0225276625172891,.0178423236514523,.095712312,.86886239,.014626556,.005152144,.0027835409,.00036307055,.101,.144,.083640777,.056407768,.050873786,.063009709,.05368932,.0718932,.043106794,.044514563,.043786407,.09300971,.11558253,.11946602,.068446599,.037815534,.035291262,.01946602,.02,.17,49,8.3999996,48,18,.19,100
Alabama,01,Bullock County,011,01011,0,.093999997,.0047692857,.066770002,.19673304,.14784786,.050077502,.026231071,.028615715,.0047692857,.47418624,0,453.70001,197.3,0,0,2.2271528,6.2849522,244183,724,255,10138,.5451765634247386,.059183270862103,.0589859932925626,.0592819096468732,.0521799171434208,.0617478792661274,.075853225488262,.0746695600710199,.0679621227066483,.0611560465575064,.0645097652396922,.0595778260011837,.0741763661471691,.0668770960741764,.0533635825606629,.0401459854014599,.0291970802919708,.02298283685145,.0181495363977116,.079601496,.21217203,.69540346,.0023673309,.0012823042,.00049319392,.208,.314,.22748683,.107509,.034081463,.05624827,.051537823,.03879191,.031310614,.071210861,.024383485,.12579662,.047104459,.058464948,.076475479,.022443891,.0047104461,.022443891,0,.23999999,8,7.8000002,32,31,.23,633
Alabama,01,Butler County,013,01013,0,.093999997,.0080301436,.075977519,.1828402,.15010192,.082772255,.056211006,.064241149,.011118661,.36870715,198.2,533.5,274.39999,,0,1.9510261,9.7812996,570686,887,386,19680,.4657012195121951,.056859756097561,.0626016260162602,.0654471544715447,.0596036585365854,.0553861788617886,.0607723577235772,.055030487804878,.063719512195122,.0577235772357724,.0600609756097561,.057469512195122,.0691056910569106,.0732215447154472,.063109756097561,.0486788617886179,.0356707317073171,.0258130081300813,.0297256097560976,.015091463,.51255083,.44557926,.0035060975,.012703252,.00045731707,.131,.235,.1124031,.091830648,.079904594,.055605248,.065444246,.040250447,.066785924,.060822897,.046213478,.070810974,.080202743,.10778175,.057245079,.032051284,.016696481,.015951103,0,.19,18,9.1000004,38,38,.22,311
Alabama,01,Calhoun County,015,01015,0,.093999997,.0067904508,.07692308,.15246685,.17230769,.11214854,.072785147,.077029176,.013474801,.31607428,168,527.70001,266.89999,,33.299999,2.1206391,72.825485,3950436,5192,6929,114277,.4805341407282305,.0575793904285202,.057413127750991,.0625322680854415,.0655512482826816,.0637573614988143,.0715542060082081,.06022209193451,.0611059093255861,.0583056958093055,.0618147133718946,.0633460801386106,.0707578952895158,.0688852525005032,.0592332665365734,.0464397910340663,.0321324500993201,.0208965933652441,.0184726585402137,.03910673,.72024989,.20850214,.0040953122,.009319461,.00090131874,.105,.186,.085981391,.071303263,.066662222,.06099971,.058246177,.052961163,.05100704,.051317923,.038371861,.083094619,.10623321,.11185131,.070348412,.037816711,.029844781,.023960207,.0099999998,.18000001,166,14.5,45,41,.21,226
Alabama,01,Chambers County,017,01017,0,.093999997,.0071800393,.078262433,.18668103,.17734697,.087596484,.052055288,.047388259,.0071800393,.35630947,178.5,339.10001,270.70001,62.5,,1.9746813,21.756077,1941217,1044,1419,33615,.4787446080618771,.0573850959393128,.0577123308047003,.0572958500669344,.056105905101889,.0597054886211513,.0705934850513164,.0552729436263573,.0558084188606277,.0564926372155288,.0648222519708463,.0663394318012792,.0752937676632456,.0719619217611185,.0616688978134761,.0525658188308791,.0358470920719917,.022846943328871,.0222817194704745,.025613565,.55231297,.3956567,.0023203928,.012672914,.00023798899,.109,.166,.087599881,.07213673,.080349214,.090855286,.057709381,.064738087,.047721218,.059189111,.043208051,.085010357,.080941103,.1135691,.055193845,.028706718,.020050311,.013021604,0,.2,60,17.799999,27,26,.19,388
Alabama,01,Cherokee County,019,01019,0,.093999997,.015142477,.073418073,.1436241,.1486716,.10140871,.066535123,.073876932,.011012711,.36631027,172.89999,322.70001,261.20001,,,1.5624512,18.158186,498013,1086,1113,26032,.4953902888752305,.0463275968039336,.0517824216349109,.0569299323909035,.0575829748002459,.0500921942224954,.0594652735095267,.0463275968039336,.0498617086662569,.0565073755377996,.0665719114935464,.0713352796558082,.0774431468961278,.0800553165334972,.0715273509526736,.0646511985248924,.0442532267977873,.0286954517516902,.0205900430239705,.016210817,.91656423,.042409342,.0056853103,.0031499693,.000038414259,.118,.15,.086177632,.077597588,.083537623,.059023194,.053177446,.059400339,.06345465,.059400339,.033471622,.090231948,.092777669,.11154064,.056194607,.026777295,.025740147,.021497266,0,.15000001,22,8.5,32,29,.17,117
