,stfips,stname,ctyfips,ctyname,fips,outmig,inmig
0,1,Alabama,0,0,0,,
1,1,Alabama,1,Autauga County,1001,5320,3779
2,1,Alabama,3,Baldwin County,1003,6721,8913
3,1,Alabama,5,Barbour County,1005,1295,991
4,1,Alabama,7,Bibb County,1007,1429,1654
5,1,Alabama,9,Blount County,1009,3335,1715
6,1,Alabama,11,Bullock County,1011,724,255
7,1,Alabama,13,Butler County,1013,887,386
8,1,Alabama,15,Calhoun County,1015,5192,6929
9,1,Alabama,17,Chambers County,1017,1044,1419
10,1,Alabama,19,Cherokee County,1019,1086,1113
11,1,Alabama,21,Chilton County,1021,1427,1342
12,1,Alabama,23,Choctaw County,1023,722,309
13,1,Alabama,25,Clarke County,1025,865,491
14,1,Alabama,27,Clay County,1027,293,287
15,1,Alabama,29,Cleburne County,1029,538,749
16,1,Alabama,31,Coffee County,1031,3368,4290
17,1,Alabama,33,Colbert County,1033,3022,2042
18,1,Alabama,35,Conecuh County,1035,643,183
19,1,Alabama,37,Coosa County,1037,414,712
20,1,Alabama,39,Covington County,1039,1150,1273
21,1,Alabama,41,Crenshaw County,1041,510,480
22,1,Alabama,43,Cullman County,1043,2785,2253
23,1,Alabama,45,Dale County,1045,4232,4922
24,1,Alabama,47,Dallas County,1047,1885,1369
25,1,Alabama,49,DeKalb County,1049,3219,3431
26,1,Alabama,51,Elmore County,1051,5444,6688
27,1,Alabama,53,Escambia County,1053,1215,925
28,1,Alabama,55,Etowah County,1055,3998,4343
29,1,Alabama,57,Fayette County,1057,639,717
30,1,Alabama,59,Franklin County,1059,1411,1530
31,1,Alabama,61,Geneva County,1061,1490,747
32,1,Alabama,63,Greene County,1063,210,172
33,1,Alabama,65,Hale County,1065,936,350
34,1,Alabama,67,Henry County,1067,923,575
35,1,Alabama,69,Houston County,1069,5264,3959
36,1,Alabama,71,Jackson County,1071,1752,1375
37,1,Alabama,73,Jefferson County,1073,26945,27210
38,1,Alabama,75,Lamar County,1075,966,621
39,1,Alabama,77,Lauderdale County,1077,3918,6074
40,1,Alabama,79,Lawrence County,1079,1232,1133
41,1,Alabama,81,Lee County,1081,9607,12195
42,1,Alabama,83,Limestone County,1083,4694,5673
43,1,Alabama,85,Lowndes County,1085,416,281
44,1,Alabama,87,Macon County,1087,1260,1141
45,1,Alabama,89,Madison County,1089,14519,16111
46,1,Alabama,91,Marengo County,1091,896,511
47,1,Alabama,93,Marion County,1093,1146,1746
48,1,Alabama,95,Marshall County,1095,4601,4988
49,1,Alabama,97,Mobile County,1097,13085,9651
50,1,Alabama,99,Monroe County,1099,391,632
51,1,Alabama,101,Montgomery County,1101,11522,13873
52,1,Alabama,103,Morgan County,1103,4577,5350
53,1,Alabama,105,Perry County,1105,932,452
54,1,Alabama,107,Pickens County,1107,949,765
55,1,Alabama,109,Pike County,1109,1772,1645
56,1,Alabama,111,Randolph County,1111,1114,691
57,1,Alabama,113,Russell County,1113,3250,3213
58,1,Alabama,115,St. Clair County,1115,4528,5128
59,1,Alabama,117,Shelby County,1117,12132,12580
60,1,Alabama,119,Sumter County,1119,725,340
61,1,Alabama,121,Talladega County,1121,4608,3218
62,1,Alabama,123,Tallapoosa County,1123,1955,1209
63,1,Alabama,125,Tuscaloosa County,1125,8228,14358
64,1,Alabama,127,Walker County,1127,1690,2604
65,1,Alabama,129,Washington County,1129,607,641
66,1,Alabama,131,Wilcox County,1131,970,319
67,1,Alabama,133,Winston County,1133,1541,922
68,1,Alabama,unknown,unknown,unknown,,
69,2,Alaska,0,0,0,,
70,2,Alaska,13,Aleutians East Borough,2013,660,313
71,2,Alaska,16,Aleutians West Census Area,2016,441,442
72,2,Alaska,20,Anchorage Municipality,2020,30513,16260
73,2,Alaska,50,Bethel Census Area,2050,919,570
74,2,Alaska,60,Bristol Bay Borough,2060,96,98
75,2,Alaska,68,Denali Borough,2068,540,471
76,2,Alaska,70,Dillingham Census Area,2070,198,226
77,2,Alaska,90,Fairbanks North Star Borough,2090,9890,8255
78,2,Alaska,100,Haines Borough,2100,180,154
79,2,Alaska,105,Hoonah-Angoon Census Area,2105,159,138
80,2,Alaska,110,Juneau City and Borough,2110,2537,1850
81,2,Alaska,122,Kenai Peninsula Borough,2122,4795,3350
82,2,Alaska,130,Ketchikan Gateway Borough,2130,1191,935
83,2,Alaska,150,Kodiak Island Borough,2150,2039,982
84,2,Alaska,158,Kusilvak Census Area,2158,545,277
85,2,Alaska,164,Lake and Peninsula Borough,2164,106,76
86,2,Alaska,170,Matanuska-Susitna Borough,2170,6959,6428
87,2,Alaska,180,Nome Census Area,2180,1604,513
88,2,Alaska,185,North Slope Borough,2185,448,728
89,2,Alaska,188,Northwest Arctic Borough,2188,397,271
90,2,Alaska,195,Petersburg Borough,2195,245,154
91,2,Alaska,198,Prince of Wales-Hyder Census Area,2198,474,353
92,2,Alaska,220,Sitka City and Borough,2220,453,776
93,2,Alaska,230,Skagway Municipality,2230,63,162
94,2,Alaska,240,Southeast Fairbanks Census Area,2240,711,579
95,2,Alaska,261,Valdez-Cordova Census Area,2261,1459,1191
96,2,Alaska,275,Wrangell City and Borough,2275,161,85
97,2,Alaska,282,Yakutat City and Borough,2282,32,68
98,2,Alaska,290,Yukon-Koyukuk Census Area,2290,601,275
99,2,Alaska,unknown,unknown,unknown,,
100,4,Arizona,0,0,0,,
101,4,Arizona,1,Apache County,4001,4720,2081
102,4,Arizona,3,Cochise County,4003,10115,10598
103,4,Arizona,5,Coconino County,4005,10978,15137
104,4,Arizona,7,Gila County,4007,4089,3438
105,4,Arizona,9,Graham County,4009,2630,3555
106,4,Arizona,11,Greenlee County,4011,460,823
107,4,Arizona,12,La Paz County,4012,1192,1034
108,4,Arizona,13,Maricopa County,4013,126924,154271
109,4,Arizona,15,Mohave County,4015,12761,16527
110,4,Arizona,17,Navajo County,4017,5521,7196
111,4,Arizona,19,Pima County,4019,39562,46553
112,4,Arizona,21,Pinal County,4021,27245,38627
113,4,Arizona,23,Santa Cruz County,4023,2626,1328
114,4,Arizona,25,Yavapai County,4025,10250,16047
115,4,Arizona,27,Yuma County,4027,8584,9358
116,4,Arizona,unknown,unknown,unknown,,
117,5,Arizona,0,0,0,,
118,5,Arkansas,1,Arkansas County,5001,1114,796
119,5,Arkansas,3,Ashley County,5003,996,331
120,5,Arkansas,5,Baxter County,5005,2260,2054
121,5,Arkansas,7,Benton County,5007,13065,11997
122,5,Arkansas,9,Boone County,5009,1831,2414
123,5,Arkansas,11,Bradley County,5011,687,252
124,5,Arkansas,13,Calhoun County,5013,203,314
125,5,Arkansas,15,Carroll County,5015,1743,1233
126,5,Arkansas,17,Chicot County,5017,560,648
127,5,Arkansas,19,Clark County,5019,1319,2222
128,5,Arkansas,21,Clay County,5021,1246,665
129,5,Arkansas,23,Cleburne County,5023,1336,1311
130,5,Arkansas,25,Cleveland County,5025,370,239
131,5,Arkansas,27,Columbia County,5027,933,1620
132,5,Arkansas,29,Conway County,5029,1299,755
133,5,Arkansas,31,Craighead County,5031,6739,7247
134,5,Arkansas,33,Crawford County,5033,3774,2788
135,5,Arkansas,35,Crittenden County,5035,2616,1990
136,5,Arkansas,37,Cross County,5037,719,740
137,5,Arkansas,39,Dallas County,5039,510,805
138,5,Arkansas,41,Desha County,5041,951,378
139,5,Arkansas,43,Drew County,5043,739,1071
140,5,Arkansas,45,Faulkner County,5045,7363,7136
141,5,Arkansas,47,Franklin County,5047,990,1246
142,5,Arkansas,49,Fulton County,5049,734,1138
143,5,Arkansas,51,Garland County,5051,5368,5348
144,5,Arkansas,53,Grant County,5053,1139,1247
145,5,Arkansas,55,Greene County,5055,2439,2444
146,5,Arkansas,57,Hempstead County,5057,1557,946
147,5,Arkansas,59,Hot Spring County,5059,2075,2261
148,5,Arkansas,61,Howard County,5061,656,515
149,5,Arkansas,63,Independence County,5063,2358,2063
150,5,Arkansas,65,Izard County,5065,1034,933
151,5,Arkansas,67,Jackson County,5067,1609,2474
152,5,Arkansas,69,Jefferson County,5069,3825,3244
153,5,Arkansas,71,Johnson County,5071,1150,965
154,5,Arkansas,73,Lafayette County,5073,239,346
155,5,Arkansas,75,Lawrence County,5075,1028,1216
156,5,Arkansas,77,Lee County,5077,522,441
157,5,Arkansas,79,Lincoln County,5079,519,927
158,5,Arkansas,81,Little River County,5081,873,647
159,5,Arkansas,83,Logan County,5083,902,1326
160,5,Arkansas,85,Lonoke County,5085,5054,4238
161,5,Arkansas,87,Madison County,5087,743,513
162,5,Arkansas,89,Marion County,5089,1268,1329
163,5,Arkansas,91,Miller County,5091,2779,3829
164,5,Arkansas,93,Mississippi County,5093,2141,2759
165,5,Arkansas,95,Monroe County,5095,462,377
166,5,Arkansas,97,Montgomery County,5097,522,649
167,5,Arkansas,99,Nevada County,5099,469,432
168,5,Arkansas,101,Newton County,5101,302,508
169,5,Arkansas,103,Ouachita County,5103,1405,743
170,5,Arkansas,105,Perry County,5105,539,476
171,5,Arkansas,107,Phillips County,5107,965,583
172,5,Arkansas,109,Pike County,5109,807,707
173,5,Arkansas,111,Poinsett County,5111,1578,1587
174,5,Arkansas,113,Polk County,5113,921,663
175,5,Arkansas,115,Pope County,5115,3440,4505
176,5,Arkansas,117,Prairie County,5117,510,520
177,5,Arkansas,119,Pulaski County,5119,21238,17567
178,5,Arkansas,121,Randolph County,5121,1548,1053
179,5,Arkansas,123,St. Francis County,5123,1816,1218
180,5,Arkansas,125,Saline County,5125,5557,5828
181,5,Arkansas,127,Scott County,5127,575,420
182,5,Arkansas,129,Searcy County,5129,383,260
