,stfips,stname,ctyfips,ctyname,fips,c_population,cardiovascular_deaths,cardiovascular_crudeRate,d_population,diabetes_deaths,diabetes_crudeRate,m_population,mental_deaths,mental_crudeRate,n_population,neoplasm_deaths,neoplasm_crudeRate
0,1,Alabama,0,0,0,,,,,,,,,,,,
1,1,Alabama,1,Autauga County,1001,55601,164,295.0,55601.0,29.0,52.2,55601,13,Unreliable,55601,95,170.9
2,1,Alabama,3,Baldwin County,1003,218022,762,349.5,218022.0,26.0,11.9,218022,113,51.8,218022,559,256.4
3,1,Alabama,5,Barbour County,1005,24881,125,502.4,,,,24881,10,Unreliable,24881,69,277.3
4,1,Alabama,7,Bibb County,1007,22400,104,464.3,,,,,,,22400,59,263.4
5,1,Alabama,9,Blount County,1009,57840,216,373.4,,,,57840,19,Unreliable,57840,138,238.6
6,1,Alabama,11,Bullock County,1011,10138,46,453.7,,,,,,,10138,20,197.3
7,1,Alabama,13,Butler County,1013,19680,105,533.5,19680.0,12.0,Unreliable,,,,19680,54,274.4
8,1,Alabama,15,Calhoun County,1015,114277,603,527.7,114277.0,14.0,Unreliable,114277,38,33.3,114277,305,266.9
9,1,Alabama,17,Chambers County,1017,33615,114,339.1,33615.0,21.0,62.5,33615,12,Unreliable,33615,91,270.7
10,1,Alabama,19,Cherokee County,1019,26032,84,322.7,26032.0,13.0,Unreliable,26032,13,Unreliable,26032,68,261.2
11,1,Alabama,21,Chilton County,1021,44153,160,362.4,,,,44153,16,Unreliable,44153,80,181.2
12,1,Alabama,23,Choctaw County,1023,12841,80,623.0,,,,,,,12841,27,210.3
13,1,Alabama,25,Clarke County,1025,23920,97,405.5,23920.0,14.0,Unreliable,,,,23920,76,317.7
14,1,Alabama,27,Clay County,1027,13275,60,452.0,,,,13275,11,Unreliable,13275,41,308.9
15,1,Alabama,29,Cleburne County,1029,14987,72,480.4,,,,14987,10,Unreliable,14987,29,193.5
16,1,Alabama,31,Coffee County,1031,51909,212,408.4,51909.0,14.0,Unreliable,51909,24,46.2,51909,121,233.1
17,1,Alabama,33,Colbert County,1033,54762,257,469.3,,,,54762,26,47.5,54762,155,283.0
18,1,Alabama,35,Conecuh County,1035,12277,52,423.6,,,,,,,12277,40,325.8
19,1,Alabama,37,Coosa County,1037,10715,59,550.6,,,,,,,10715,25,233.3
20,1,Alabama,39,Covington County,1039,36986,220,594.8,36986.0,14.0,Unreliable,36986,12,Unreliable,36986,108,292.0
21,1,Alabama,41,Crenshaw County,1041,13824,72,520.8,,,,,,,13824,30,217.0
22,1,Alabama,43,Cullman County,1043,83442,375,449.4,83442.0,22.0,26.4,83442,35,41.9,83442,194,232.5
23,1,Alabama,45,Dale County,1045,48956,158,322.7,48956.0,17.0,Unreliable,48956,22,44.9,48956,112,228.8
24,1,Alabama,47,Dallas County,1047,38310,209,545.5,,,,38310,15,Unreliable,38310,106,276.7
25,1,Alabama,49,DeKalb County,1049,71385,270,378.2,71385.0,36.0,50.4,71385,24,33.6,71385,162,226.9
26,1,Alabama,51,Elmore County,1051,81887,277,338.3,81887.0,24.0,29.3,81887,12,Unreliable,81887,171,208.8
27,1,Alabama,53,Escambia County,1053,36748,148,402.7,36748.0,24.0,65.3,36748,18,Unreliable,36748,97,264.0
28,1,Alabama,55,Etowah County,1055,102501,465,453.7,102501.0,48.0,46.8,102501,52,50.7,102501,266,259.5
29,1,Alabama,57,Fayette County,1057,16433,80,486.8,,,,,,,16433,54,328.6
30,1,Alabama,59,Franklin County,1059,31363,120,382.6,,,,31363,10,Unreliable,31363,72,229.6
31,1,Alabama,61,Geneva County,1061,26314,111,421.8,26314.0,16.0,Unreliable,,,,26314,89,338.2
32,1,Alabama,63,Greene County,1063,8233,40,485.8,,,,,,,8233,25,303.7
33,1,Alabama,65,Hale County,1065,14726,59,400.7,,,,,,,14726,33,224.1
34,1,Alabama,67,Henry County,1067,17209,66,383.5,,,,17209,10,Unreliable,17209,51,296.4
35,1,Alabama,69,Houston County,1069,104722,365,348.5,104722.0,15.0,Unreliable,104722,43,41.1,104722,214,204.4
36,1,Alabama,71,Jackson County,1071,51736,246,475.5,51736.0,14.0,Unreliable,51736,17,Unreliable,51736,144,278.3
37,1,Alabama,73,Jefferson County,1073,659300,2227,337.8,659300.0,141.0,21.4,659300,382,57.9,659300,1379,209.2
38,1,Alabama,75,Lamar County,1075,13844,41,296.2,,,,,,,13844,38,274.5
39,1,Alabama,77,Lauderdale County,1077,92387,331,358.3,92387.0,13.0,Unreliable,92387,40,43.3,92387,223,241.4
40,1,Alabama,79,Lawrence County,1079,32957,142,430.9,,,,,,,32957,95,288.3
41,1,Alabama,81,Lee County,1081,163941,294,179.3,163941.0,47.0,28.7,163941,31,18.9,163941,262,159.8
42,1,Alabama,83,Limestone County,1083,96174,324,336.9,,,,96174,29,30.2,96174,169,175.7
43,1,Alabama,85,Lowndes County,1085,9974,47,471.2,,,,,,,9974,29,290.8
44,1,Alabama,87,Macon County,1087,18439,106,574.9,,,,,,,18439,60,325.4
45,1,Alabama,89,Madison County,1089,366519,1160,316.5,366519.0,57.0,15.6,366519,79,21.6,366519,687,187.4
46,1,Alabama,91,Marengo County,1091,19066,112,587.4,,,,,,,19066,61,319.9
47,1,Alabama,93,Marion County,1093,29763,141,473.7,,,,29763,20,67.2,29763,87,292.3
48,1,Alabama,95,Marshall County,1095,96109,357,371.5,96109.0,23.0,23.9,96109,37,38.5,96109,212,220.6
49,1,Alabama,97,Mobile County,1097,413757,1494,361.1,413757.0,87.0,21.0,413757,187,45.2,413757,943,227.9
50,1,Alabama,99,Monroe County,1099,21067,99,469.9,21067.0,10.0,Unreliable,,,,21067,59,280.1
51,1,Alabama,101,Montgomery County,1101,225763,648,287.0,225763.0,96.0,42.5,225763,65,28.8,225763,462,204.6
52,1,Alabama,103,Morgan County,1103,119089,461,387.1,119089.0,13.0,Unreliable,119089,52,43.7,119089,263,220.8
53,1,Alabama,105,Perry County,1105,9140,39,426.7,,,,,,,9140,26,284.5
54,1,Alabama,107,Pickens County,1107,19938,85,426.3,,,,19938,12,Unreliable,19938,33,165.5
55,1,Alabama,109,Pike County,1109,33338,110,330.0,33338.0,13.0,Unreliable,33338,12,Unreliable,33338,66,198.0
56,1,Alabama,111,Randolph County,1111,22725,106,466.4,,,,22725,11,Unreliable,22725,44,193.6
57,1,Alabama,113,Russell County,1113,57781,164,283.8,57781.0,39.0,67.5,57781,15,Unreliable,57781,112,193.8
